,date,count_sum,power,dey,month,year,power_res
0,2011-01-01,9,C1.2,01,01,2011,0.12
1,2011-01-02,13,B6.67,02,01,2011,0.0667
2,2011-01-03,23,C1.63,03,01,2011,0.16299999999999998
3,2011-01-04,17,C2.84,04,01,2011,0.284
4,2011-01-05,21,B5.82,05,01,2011,0.0582
5,2011-01-06,11,B2.45,06,01,2011,0.0245
6,2011-01-07,18,B7.3,07,01,2011,0.073
7,2011-01-08,16,B3.68,08,01,2011,0.0368
8,2011-01-09,11,B1.88,09,01,2011,0.018799999999999997
9,2011-01-10,23,B6.67,10,01,2011,0.0667
10,2011-01-11,28,B4.55,11,01,2011,0.0455
11,2011-01-12,28,B3.28,12,01,2011,0.032799999999999996
12,2011-01-13,27,B5.35,13,01,2011,0.0535
13,2011-01-14,26,C2.37,14,01,2011,0.23700000000000002
14,2011-01-15,15,C1.61,15,01,2011,0.161
15,2011-01-16,14,B3.43,16,01,2011,0.034300000000000004
16,2011-01-17,24,B8.37,17,01,2011,0.0837
17,2011-01-18,28,B2.9,18,01,2011,0.028999999999999998
18,2011-01-19,32,B3.61,19,01,2011,0.0361
19,2011-01-20,23,B6.08,20,01,2011,0.0608
20,2011-01-21,24,C4.76,21,01,2011,0.476
21,2011-01-22,24,C3.52,22,01,2011,0.352
22,2011-01-23,13,B4.1,23,01,2011,0.040999999999999995
23,2011-01-24,29,C2.06,24,01,2011,0.20600000000000002
24,2011-01-25,25,B1.52,25,01,2011,0.0152
25,2011-01-26,36,B4.68,26,01,2011,0.046799999999999994
26,2011-01-27,25,C2.19,27,01,2011,0.219
27,2011-01-28,24,M2,28,01,2011,2.0
28,2011-01-29,22,C1.05,29,01,2011,0.10500000000000001
29,2011-01-30,12,B3.37,30,01,2011,0.0337
30,2011-01-31,18,B2.85,31,01,2011,0.0285
31,2011-02-01,23,B6.51,01,02,2011,0.06509999999999999
32,2011-02-02,33,B6,02,02,2011,0.06
33,2011-02-03,28,B3.76,03,02,2011,0.037599999999999995
34,2011-02-04,29,C1.36,04,02,2011,0.136
35,2011-02-05,22,B5.19,05,02,2011,0.0519
36,2011-02-06,26,B1.03,06,02,2011,0.0103
37,2011-02-07,34,B3.36,07,02,2011,0.0336
38,2011-02-08,19,C5.81,08,02,2011,0.581
39,2011-02-09,26,M2.74,09,02,2011,2.74
40,2011-02-10,28,C6.76,10,02,2011,0.6759999999999999
41,2011-02-11,36,C1.37,11,02,2011,0.137
42,2011-02-12,25,C3.77,12,02,2011,0.377
43,2011-02-13,14,M9.46,13,02,2011,9.46
44,2011-02-14,23,M3.26,14,02,2011,3.26
45,2011-02-15,29,X3.28,15,02,2011,32.8
46,2011-02-16,32,M2.35,16,02,2011,2.35
47,2011-02-17,29,C8.78,17,02,2011,0.8779999999999999
